PassengerId,Survived,Pclass,Age,SibSp,Parch,FamilySize,Fare,FarePP,Title_Dr,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rev,Sex_male,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Embarked_Q,Embarked_S
1,0,3,22.0,1,0,2,7.25,3.625,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
2,1,1,38.0,1,0,2,71.2833,35.6416,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,1,3,26.0,0,0,1,7.925,7.925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
4,1,1,35.0,1,0,2,53.1,26.55,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
5,0,3,35.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
6,0,3,29.184491978609625,0,0,1,8.4583,8.4583,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
7,0,1,54.0,0,0,1,51.8625,51.8625,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
8,0,3,2.0,3,1,5,21.075,4.215,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
9,1,3,27.0,0,2,3,11.1333,3.7111,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
10,1,2,14.0,1,0,2,30.0708,15.0354,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,1,3,4.0,1,1,3,16.7,5.5667,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
12,1,1,58.0,0,0,1,26.55,26.55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
13,0,3,20.0,0,0,1,8.05,8.05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
14,0,3,39.0,1,5,7,31.275,4.4679,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
15,0,3,14.0,0,0,1,7.8542,7.8542,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
16,1,2,55.0,0,0,1,16.0,16.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
17,0,3,2.0,4,1,6,29.125,4.8542,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
18,1,2,33.904761904761905,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
19,0,3,31.0,1,0,2,18.0,9.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
20,1,3,23.56578947368421,0,0,1,7.225,7.225,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,0,2,35.0,0,0,1,26.0,26.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
22,1,2,34.0,0,0,1,13.0,13.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
23,1,3,15.0,0,0,1,8.0292,8.0292,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
24,1,1,28.0,0,0,1,35.5,35.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
25,0,3,8.0,3,1,5,21.075,4.215,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
26,1,3,38.0,1,5,7,31.3875,4.4839,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
27,0,3,29.18449197860963,0,0,1,7.225,7.225,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
28,0,1,19.0,3,2,6,263.0,43.8333,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
29,1,3,23.56578947368421,0,0,1,7.8792,7.8792,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
30,0,3,29.18449197860963,0,0,1,7.8958,7.8958,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
31,0,1,40.0,0,0,1,27.7208,27.7208,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
32,1,1,37.43478260869565,1,0,2,146.5208,73.2604,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33,1,3,23.565789473684212,0,0,1,7.75,7.75,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
